ID,Label
0,device111
1,HP LaserJet Series / OfficeJet Series / Brother MFC Printers
2,HP LaserJet Series
3,Canon MF4500 Series
4,Asus RT-AC66U Router
5,Raid Controller
6,SUSE Linux
7,Windows 2008 R2 / 2012
8,Windows 7 / 2008 R2
9,F5 Big IP
10,Embedded Linux
11,Dell Color Laser Printers
12,3Com Device
13,device276
14,device193
15,device253
16,Xerox Color 560
17,Konica Minolta Printers
18,Dell Color Laser Printers / Xerox WorkCenter Series
19,Dell Laser Printers
20,Dell Color Laser Series
21,Xerox WorkCenter Series
22,Traf-Sys MIU-1000 Data Controller
23,device279
24,device136
25,Dell Color Laser Printers / Xerox WorkCenter Series / Xerox Phaser Series
26,CentOS
27,Windows XP / 2003
28,D-Link DCS-6620 Internet Camera
29,Xerox WorkCenter Series
30,Dell Color Laser Printers / Xerox WorkCenter Series
31,Xerox WorkCenter Series
32,Dell Color Laser Printers / Xerox WorkCenter Series
33,Dell Color Laser Printers / Xerox WorkCenter Series
34,Ricoh Aficio Printers
35,Dell Switch
36,Linux
37,HP LaserJet Series / Brother MFC Printers
38,device97
39,HP Proliant iLO Server
40,APC Embedded
41,Schneider Building Operation Station
42,Epson Workforce Series
43,HP LaserJet Series
44,Schneider PowerLogic Ethernet Communications Card
45,Xerox WorkCenter Series
46,Mac OSX Server
47,device288
48,device289
49,Codian MCU
50,Windows XP / 2000 / 2003
51,device291
52,device292
53,Cisco IOS
54,Trendnet TE-100-P1P Print Server
55,Dell Laser Printers / Lexmark Printers
56,Xerox Phaser Series
57,HP Proliant iLO Server
58,HP LaserJet Series
59,TrippLite PowerAlert / WxGoos Climate Monitor / PowerLogic EGX100 Gateway
60,3Com Device
61,3Com Switch
62,Axis 2100 Network Camera
63,Geist Watchdog 15
64,Panasonic Network Camera / HP Proliant ILO Server
65,Cisco IP Phone CP-8941
66,Cisco IP Phone CP-6921 
67,3Com Device
68,Xerox WorkCenter Series
69,Brother MFC Printers
70,HP Embedded
71,Canon MF220 Series
72,Ubuntu / Redhat / CentOS / SUSE Linux / Scientific Linux
73,Odyssey LI-COR Infrared Imaging System
74,HP LaserJet Series
75,HP LaserJet Series
76,D-Link DGS 1248T Switch
77,Windows XP / 2003
78,Brother MFC-J5720
79,Quantum Superloader
80,IT Temperature Monitor Model E16
81,Unix
82,Windows
83,device210
84,Canon MX920 series
85,device119
86,Mac OSX Server
87,Juniper MX240 Router
88,device214
89,Ricoh Aficio Printers
90,HP LaserJet Series
91,device306
92,HP Proliant iLO Server
93,Windows 7 / 2008 R2
94,device168
95,HP Proliant iLO Server
96,AMX Television Distribution System
97,Dell 2162DS KVM Switch 
98,HP LaserJet Series
99,HP Proliant iLO Server
100,Windows XP
101,Xerox WorkCenter Series
102,device308
103,Redhat
104,Xerox Phaser Series
105,device309
106,device255
107,device310
108,Brother HL-6050 Series
109,HP LaserJet Series
110,Loytech LDALI-3E101
111,Coolcentric CDU
112,APC Embedded
113,MOXA NE-4100T
114,Konica Minolta Printers
115,HP LaserJet 500 M551
116,FreeBSD
117,device252
118,device313
119,FreeBSD
120,Ubuntu / Redhat / SUSE Linux
121,HP OfficeJet Series
122,Ricoh Aficio MP C2551 / Codian IP VCR
123,Brother MFC-7820N
124,Windows 7 / 2008 R2
125,Lantronix Server
126,Dymo LabelWriter Print Server
127,device52
128,NEC Projector Controller
129,TemperatureGuard VM605E
130,device170
131,Aptilo Mobile Access Server
132,HP LaserJet Series
133,Dell Kace K1000
134,BestLink SNMP/WEB Adapter
135,Ubuntu
136,Schneider PowerLogic ION7650
137,Xerox WorkCenter Series
138,Rariton Dominion LX
139,ThecusOS
140,Synology DiskStation
141,Windows XP / 2003
142,device100
143,Lantronix Server
144,Samsung ML-2150 Network Printer
145,device150
146,Ricoh Aficio SP Series
147,Windows 2008 R2 / 2012
148,Kyocera Printers
149,Windows 8 / Server 2012
150,device323
151,Ricoh Aficio MP Series
152,AirOS / Aruba Networks Controller
153,HP LaserJet Series
154,StarDot NetcamSC
155,Kyocera Printers
156,Polycom VSX8000
157,device208
158,device325
159,Dell PowerVault TL2000
160,device327
161,device274
162,device187
163,Dell Laser Printers
164,Burk ARC Plus
165,Burk Plus-X IIU
166,HWg-STE: Ethernet thermometer
167,Windows 2003 / Vista / 7 / 8 / 2008 / 2008 R2 / 2012
168,Konica Minolta Printers
169,Canon imageRunner 2530
170,Planar Wallnet Video Controller
171,Novell Netware
172,Vbrick Video Systems
173,device331
174,Burk Plus-X 300
175,HP Proliant iLO Server
176,HP LaserJet Series
177,Epson Stylus Pro Series
178,Xerox Phaser Series
179,Dell Laser Printers / Xerox Phaser Series
180,Xerox WorkCenter Series
181,device333
182,device161
183,Windows 8 / Server 2012
184,Xerox WorkCenter Series
185,device336
186,Citrix Netscaler
187,Dell Color Laser Printers
188,Ubuntu / Redhat / CentOS / SUSE Linux / Scientific Linux
189,HP Proliant iLO Server
190,Ricoh Aficio MP Series
191,SUSE Linux
192,Dell Laser Printers
193,device340
194,Windows 7 / 2008 R2
195,Dell Laser Printers
196,Dell 4322DS KVM Switch
197,Dell Laser Printers
198,Windows XP / 2003
199,Netbotz Sensor Pod
200,Polycom VSX7000e
201,HP LaserJet Series
202,Ricoh Aficio Printers
203,device223
204,NexSAN GRIIDC 
205,device90
206,Embedded Linux
207,Dell Color Laser Printers / Xerox WorkCenter Series / Xerox Phaser Series
208,Dell Color Laser Printers
209,Dell Laser Printers
210,Cisco MDS 9000
211,HP LaserJet Series
212,HP LaserJet Series
213,Schneider TAC Xenta 527-NPR Security Router
214,HP Proliant iLO Server
215,Dell Switch
216,Spacesaver Powerlink
217,OpenVMS
218,Digi One SP
219,NetAPP Data ONTAP 7.3 / 8.2
220,device75
221,Lexmark T520
222,Panasonic WV-ST162 Network Camera
223,Enterasys Switch
224,Sharp MX-4111N
225,HP Procurve / APC Embedded
226,Unix
227,SUSE Linux
228,AVTech RoomAlert
229,Datamax W-Class 6208 Printer
230,Liebert OpenComms Web Card
231,device232
232,Rariton Dominion KX III
233,APC Embedded
234,HP Proliant iLO Server
235,HP Proliant iLO Server
236,HP Proliant iLO Server
237,Sharp MX-M283N
238,device354
239,CentOS
240,HP LaserJet Series
241,device154
242,RS2 Technologies EP-1501
243,3Com Device
244,device144
245,HP Procurve Switch
246,HP LaserJet Series
247,Ricoh Aficio MP Series
248,FreeBSD
249,CentOS
250,F5 Big IP
251,SonicWALL
252,CentOS
253,device199
254,Citrix Netscaler
255,Dell Switch
256,Solaris 9 / Solaris 10
257,PowerDSine Power View Pro
258,HP LaserJet Series
259,HP LaserJet Series / Brother MFC Printers
260,Ricoh Aficio MP Series
261,Polycom Soundpoint IP Telephone
262,CentOS
263,AdTran Phone Manager
264,Windows XP / 2000
265,IrTrans LAN Controller
266,FreeRTOS 7.4.2
267,Crestron RoomView
268,Xante Accel-a-Writer 4G
269,Dell Laser Printers / Lexmark Printers
270,AVTech RoomAlert / Lightware Matrix / Rockwell Automation
